ID,aSagH_0,aSagH_2,aSagH_4,aSagH_6,aSagH_8,aSagH_10,aSagH_12,aSagH_14,aSagH_16,aSagH_18,aSagH_20,aSagH_22,aSagH_24,aSagH_26,aSagH_28,aSagH_30,aSagH_32,aSagH_34,aSagH_36,aSagH_38,aSagH_40,aSagH_42,aSagH_44,aSagH_46,aSagH_48,aSagH_50,aSagH_52,aSagH_54,aSagH_56,aSagH_58,aSagH_60,aSagH_62,aSagH_64,aSagH_66,aSagH_68,aSagH_70,aSagH_72,aSagH_74,aSagH_76,aSagH_78,aSagH_80,aSagH_82,aSagH_84,aSagH_86,aSagH_88,aSagH_90,aSagH_92,aSagH_94,aSagH_96,aSagH_98,aSagH_100
CP105,51.4088198344,50.9333506761,50.2437166245,49.185244584,47.7193461595,45.9102838788,43.8592242,41.6450135715,39.3008966642,36.8250604217,34.2073592053,31.4551941088,28.610499355,25.7497565359,22.9574415115,20.2834876932,17.7154730015,15.1916512475,12.6439623326,10.0415944796,7.4135812444,4.8499889133,2.4829577775,0.460412944,-1.0631195269,-1.9215175942,-1.9603008929,-1.1042997874,0.6121677361,3.1099932156,6.3326143649,10.2361876991,14.7383071265,19.6694718927,24.7628442131,29.7088851935,34.2491440731,38.2448011399,41.6792823935,44.6066948907,47.0913446083,49.1631181901,50.7975575609,51.9331443372,52.5292134149,52.6230984075,52.3405672074,51.8495614755,51.2980003018,50.7759060315,50.3035227458
CP111,37.9570602417,36.8320037151,35.1505794659,33.1967434723,31.1492663037,29.1428663551,27.2965972934,25.6652304845,23.4546274861,21.0309595464,18.7002258068,16.4803666613,14.4217153791,12.5283508644,10.7190505404,8.9268044122,7.180073149,5.5031391201,3.7653583215,1.7626471518,-0.3794104087,-2.7851452788,-5.1795387197,-7.5655467035,-9.5015625375,-10.6928490122,-10.9775824686,-10.2100442622,-8.4688710989,-5.7614702042,-2.1592804949,1.9121604745,6.0485794743,10.5499582397,14.8833363715,18.9607789238,22.7198076091,25.8641129993,28.6167122452,30.9204991061,32.8787662192,34.6290509562,36.2533981467,37.575977488,38.3569982028,38.8156114212,38.8558678903,38.6256239671,38.3143715941,37.7746247855,36.6164680481
CP113,34.5434780121,33.5681397043,32.1959002858,30.5241252562,28.655008859,26.6358783602,24.4728673241,22.1765692067,19.786188792,17.3721638234,15.0233147995,12.8197639759,10.8066087105,8.9849851903,7.3202757474,5.756799078,4.23322782,2.6961893371,1.1108998189,-0.5300173941,-2.2016793452,-3.8479891679,-5.3838087708,-6.6948657551,-7.645027979,-8.0952568585,-7.9273780012,-7.0636816168,-5.4768415688,-3.1871757873,-0.2582753735,3.1948190747,6.9898100564,10.8843958761,14.6279287388,18.0202444658,20.9340739322,23.3119299298,25.1623355974,26.5601335839,27.636101418,28.5476636612,29.4414543392,30.4251994455,31.5496780847,32.7962101108,34.0765544771,35.2579868818,36.2087154647,36.8334012868,37.0779209137
CP127,39.2809944153,37.9540856917,37.5659793235,37.8983168411,36.4844406929,34.0090326734,31.8813410542,29.772771226,27.6570922217,25.4819224852,23.1202380246,20.872999181,18.8827908877,17.2470864426,15.8665790076,14.5264417744,13.084193429,11.7388436971,10.107015953,8.1980427219,6.0670467847,3.9574439766,1.7536048235,-0.276746617,-1.9848107401,-3.0393682637,-3.482129853,-3.0323394153,-1.7638806322,0.1209057275,2.4752227849,5.5574651625,9.2310084594,13.0371520892,16.6497729812,20.0886004821,23.035209555,25.9048678075,28.7952414543,31.2529220813,33.4359400638,35.3433228661,36.7335926526,37.5446571562,38.1110853608,38.2040156713,37.9181524204,37.5175609996,37.1161296274,36.4759460206,35.641003418
CP157,34.1971995036,35.3121766025,36.0607468177,35.6243888221,34.5660087308,33.649149515,32.6413236276,31.0351730793,28.675158096,25.8697646795,22.9735036157,20.1421855654,17.3702219597,14.6146867906,11.8465293032,9.0613384034,6.2643501469,3.4667008684,0.7115501339,-1.887515688,-4.1744816726,-6.0491303324,-7.5390097114,-8.7776969492,-9.8824644095,-10.8316921875,-11.4622449527,-11.5833223829,-11.0794396241,-9.9468707363,-8.2175704059,-5.8379415953,-2.7542676567,0.961532091,5.1190955024,9.3972942036,13.4722924762,17.1955831395,20.581686901,23.6819844828,26.4791967535,28.8782153819,30.7533071543,32.0003822122,32.601669013,32.6752712212,32.4349483822,32.0894613351,31.8332168552,31.9338582024,32.6353155772
CP162,36.2317848206,35.6229853732,35.0802740626,34.4925082032,33.6882924193,32.4976272819,30.8096585509,28.6137612629,26.0094589755,23.177991719,20.323071605,17.6040912095,15.0944572271,12.7838221356,10.6125371627,8.5151557294,6.4564414972,4.4476776247,2.5367888393,0.7808396243,-0.7823388716,-2.1484395754,-3.3344181771,-4.3406160632,-5.1121446798,-5.5264881728,-5.4156601446,-4.6151418073,-3.020601814,-0.6279103507,2.4606131639,6.0640311789,9.9683092525,13.9676509343,17.8883563336,21.594556119,24.9832726023,27.9785816001,30.5287826207,32.6044673294,34.1945903263,35.3056760365,35.9699625744,36.2503386564,36.2324802182,36.0052520551,35.6415437579,35.1938643253,34.7054502971,34.2222288502,33.7905158997
CP164,27.8313093185,32.8893766601,32.1181038134,30.9646644382,29.1955517372,26.9757024285,24.7118186463,22.6453767203,20.7241193604,18.7284985197,16.5115567401,14.1352607864,11.7655991811,9.489924527,7.2415463724,4.8941347708,2.4148012173,-0.008196026,-2.2902144826,-4.3195952166,-6.0570584974,-7.5374909569,-8.7646797049,-9.6651053172,-10.1094518631,-9.996113605,-9.3346961221,-8.2389842389,-6.8023540972,-4.9626935511,-2.5126924892,0.6965939385,4.5784414045,8.8462425089,13.1724760412,17.3355101379,21.2325748104,24.7938240172,27.9227987155,30.501886629,32.4363581444,33.7004339627,34.3593585873,34.5624443873,34.5020733592,34.3370033222,34.1171278968,33.7874353422,33.3018579633,32.7140638714,32.1324100494
CP169,33.8157730103,34.2701479336,34.9174211252,35.1554722327,34.4343335531,32.8081934118,30.8279731823,28.9678569825,27.3890261569,25.9625436205,24.4755826515,22.8860088519,21.3209877268,19.8878088486,18.5545812,17.1958475762,15.69820783,14.0079403529,12.1076288755,9.9880816148,7.6549553744,5.1463276365,2.5219972759,-0.1313236446,-2.6429655532,-4.727334224,-6.040231037,-6.2996898677,-5.4151604619,-3.5306227607,-0.9186386057,2.2080431844,5.7690474342,9.7328963544,14.0252291326,18.4565839475,22.7353210363,26.5940338862,29.8670440377,32.458509863,34.3102337561,35.4225253446,35.8778749592,35.8305570623,35.4735175018,34.9947694163,34.5431790316,34.1998321825,33.9491477346,33.7868690909,33.8661048889
CP171,39.2981233597,39.3942298172,39.3469248813,39.1518296522,38.3902425973,37.0600180255,35.9937309639,34.794031936,33.1773029569,31.0263556788,28.5909773308,26.1442435008,23.8081770923,21.4722332324,19.2785972585,17.0345545508,14.7304919175,12.3197656966,9.7099620633,7.2465436021,4.8034067379,2.6111043168,0.7615691776,-0.7238743375,-1.8069668905,-2.5634490851,-2.8828024409,-2.5328310411,-1.4004553302,0.3690832375,3.0752672189,6.8280130068,11.3118982775,15.8454582575,20.1569465405,24.1202087624,27.6712173004,30.7285173434,33.2147809114,35.3122288265,36.8240951142,37.9736025517,38.7586808638,39.2795122566,39.4341732207,39.4089515792,39.1211084549,38.8149394674,38.6906801802,38.7775684669,38.8097639084
CP177,42.4063659668,42.2270820018,41.818046452,41.2006263737,40.3748522069,39.2894000373,37.8678815316,36.0630834662,33.9024240881,31.4962920116,29.0029289547,26.5728277068,24.3035599564,22.2223709805,20.2974729877,18.4661831509,16.6644363417,14.8472998508,12.9973821894,11.1236059199,9.2560267484,7.4413929792,5.742140844,4.2375325726,3.0227113544,2.2019290416,1.875652561,2.1262364311,3.0075941215,4.5417485825,6.7195231691,9.4998263067,12.8049962494,16.5140142123,20.4605578581,24.4420954582,28.2418788532,31.6568766392,34.5224621408,36.7327395362,38.2606432096,39.1706211398,39.6091167042,39.7703018408,39.8487580459,39.9876593539,40.2382334623,40.567638015,40.912384212,41.2078952103,41.3783439636
